Date,Sales
2023-04-21,723562689.3088137
2023-04-22,923204336.235564
2023-04-23,849739637.6587522
2023-04-24,648718475.4275668
2023-04-25,906898909.8512386
2023-04-26,698252870.4234923
2023-04-27,940551598.5555809
2023-04-28,790636436.3179293
2023-04-29,940867680.9274263
2023-04-30,846265795.038883
2023-05-01,862627139.9098203
2023-05-02,750662190.9633511
2023-05-03,978041817.361612
2023-05-04,821995099.6148187
2023-05-05,711927524.2790898
2023-05-06,803196607.0639622
2023-05-07,509596599.1546668
2023-05-08,650787408.3372747
2023-05-09,830086768.7463425
2023-05-10,645038803.605222
2023-05-11,809007714.4994208
2023-05-12,714384350.4728831
2023-05-13,567737032.1112251
2023-05-14,649141162.9780154
2023-05-15,784982455.3506324
2023-05-16,795436380.6240866
2023-05-17,787162624.4247894
2023-05-18,826600409.9285668
2023-05-19,826051635.0008445
2023-05-20,715709217.716987
2023-05-21,948273297.9255315
2023-05-22,683780935.0239482
2023-05-23,717932462.6328135
2023-05-24,945961677.5078361
2023-05-25,903096994.5230429
2023-05-26,851944291.7701831
2023-05-27,550113443.6561506
2023-05-28,959741306.8723367
2023-05-29,857120649.7745557
2023-05-30,999423503.2839333
2023-05-31,574724152.3289969
2023-06-01,934063028.6841071
2023-06-02,581246467.3381875
2023-06-03,807779782.1419221
2023-06-04,561909991.4247208
2023-06-05,924004114.6611172
2023-06-06,903659479.3625054
2023-06-07,784550369.3072966
2023-06-08,703591648.6129998
2023-06-09,534583497.72756904
2023-06-10,848714386.5722818
2023-06-11,726771341.3390344
2023-06-12,861027799.735174
2023-06-13,933191162.9643146
2023-06-14,987760752.5014429
2023-06-15,927901671.1963055
2023-06-16,505857042.092501
2023-06-17,679989032.239182
2023-06-18,864995281.212029
2023-06-19,585814838.6307203
2023-06-20,760518303.1020646
2023-06-21,527168994.16962683
2023-06-22,599998262.4482
2023-06-23,509260897.230307
2023-06-24,896848851.6787103
2023-06-25,611962344.0301901
2023-06-26,672675840.3484514
2023-06-27,964040646.7327955
2023-06-28,852207200.9617664
2023-06-29,515919464.7656539
2023-06-30,582347078.2489563
2023-07-01,810739200.7498817
2023-07-02,788614294.3020837
2023-07-03,618946410.6872543
2023-07-04,967106998.9623969
2023-07-05,806982977.9829481
2023-07-06,767816401.5124792
2023-07-07,794954988.1772854
2023-07-08,865061014.7583848
2023-07-09,655972497.7398009
2023-07-10,699110531.1080459
2023-07-11,604921874.4875611
2023-07-12,593096502.9401681
2023-07-13,972186194.9919667
2023-07-14,869775397.5246438
2023-07-15,745229404.3087835
2023-07-16,613707313.9866617
2023-07-17,627178240.8851964
2023-07-18,529014580.16193783
2023-07-19,717208312.7790604
2023-07-20,655897940.9970512
2023-07-21,848171744.4077297
2023-07-22,688875919.6462405
2023-07-23,589801838.7798173
2023-07-24,512339364.1956656
2023-07-25,533624815.7316243
2023-07-26,839696386.7492837
2023-07-27,726848422.2780226
2023-07-28,768289605.5543611
2023-07-29,948335646.520171
2023-07-30,995169473.6983521
2023-07-31,608448492.199237
2023-08-01,831539101.5500504
2023-08-02,631661188.3685753
2023-08-03,510325499.7328643
2023-08-04,879189326.9180708
2023-08-05,660008575.4112339
2023-08-06,691731947.085949
2023-08-07,794158556.7768028
2023-08-08,915524227.6180952
2023-08-09,814490921.7955744
2023-08-10,936325327.7236977
2023-08-11,636771017.4078178
2023-08-12,899023416.9562819
2023-08-13,592817972.152976
2023-08-14,976395828.4859723
2023-08-15,843744138.1939076
2023-08-16,607753838.5567793
2023-08-17,973685295.2444621
2023-08-18,865427903.3850789
2023-08-19,626970821.2975129
2023-08-20,606655988.683741
2023-08-21,759100356.9653316
2023-08-22,512831359.0272658
2023-08-23,603735037.7205547
2023-08-24,712342734.3757532
2023-08-25,687084990.1671128
2023-08-26,731787712.1824054
2023-08-27,638814353.1473659
2023-08-28,793392173.2290844
2023-08-29,931927802.9616157
2023-08-30,558765927.9810165
2023-08-31,758689553.5770571
2023-09-01,566034053.1725767
2023-09-02,858429840.5962968
2023-09-03,698029851.403647
2023-09-04,782710655.9292545
2023-09-05,591639918.1070393
2023-09-06,572423879.6716886
2023-09-07,744028140.3244773
2023-09-08,677806368.9249778
2023-09-09,970215972.6264064
2023-09-10,882662626.9034827
2023-09-11,874331809.9252737
2023-09-12,951859869.8729668
2023-09-13,541711217.7210093
2023-09-14,776096234.9612033
2023-09-15,792238034.4778844
2023-09-16,980968189.2736145
2023-09-17,646073763.3962744
2023-09-18,620414389.9577234
2023-09-19,550146971.132749
2023-09-20,508214814.7957371
2023-09-21,964764658.3960953
2023-09-22,834958273.295455
2023-09-23,892576456.0115689
2023-09-24,640865052.8769746
2023-09-25,793205083.0931634
2023-09-26,531977633.06049055
2023-09-27,742813797.9673114
2023-09-28,988747569.8722234
2023-09-29,938252622.6582954
2023-09-30,669079475.9184228
2023-10-01,980785077.2707493
2023-10-02,615850813.2356023
2023-10-03,974659411.2078407
2023-10-04,970688852.3532493
2023-10-05,899601293.6761959
2023-10-06,815223968.4333956
2023-10-07,937143983.3124735
2023-10-08,646510142.2538984
2023-10-09,924471777.6564591
2023-10-10,808938345.9587619
2023-10-11,506618428.8794497
2023-10-12,673616758.9661098
2023-10-13,574070430.4740825
2023-10-14,990914694.9091265
2023-10-15,739185153.519994
2023-10-16,748695682.7493314
2023-10-17,819736258.1993618
2023-10-18,684292303.0648087
2023-10-19,568450135.8427994
2023-10-20,911058866.5971228
2023-10-21,594923955.951379
2023-10-22,755659491.273228
2023-10-23,612158514.4873697
2023-10-24,548922242.247017
2023-10-25,931095758.7108417
2023-10-26,986459744.5115652
2023-10-27,980417329.0315001
2023-10-28,953277749.6105895
2023-10-29,887023666.3493195
2023-10-30,666572576.014321
2023-10-31,540550694.9939984
2023-11-01,703620585.7069037
2023-11-02,616117071.0854714
2023-11-03,566243817.3789915
2023-11-04,526713590.89341265
2023-11-05,862797182.1052895
2023-11-06,505713729.3125155
2023-11-07,885290374.2513881
2023-11-08,573473322.7001876
2023-11-09,539761041.2933779
2023-11-10,544801517.1193027
2023-11-11,836023903.6769572
2023-11-12,622683604.9264224
2023-11-13,710269733.3400493
2023-11-14,778684395.6619585
2023-11-15,930275586.9143969
2023-11-16,863522131.3556641
2023-11-17,635163952.6193573
2023-11-18,565741399.6455638
2023-11-19,527687160.21059895
2023-11-20,650799317.2404712
2023-11-21,631059074.6198391
2023-11-22,728070283.4002398
2023-11-23,841640667.7738402
2023-11-24,847812722.8194287
2023-11-25,641759423.2910833
2023-11-26,689963477.9500602
2023-11-27,590575480.8684515
2023-11-28,894272756.1532593
2023-11-29,528424038.21662015
2023-11-30,848498620.8624938
2023-12-01,889347697.9705517
2023-12-02,888703780.9243765
2023-12-03,629711282.1726775
2023-12-04,686906568.9662807
2023-12-05,793799817.5981946
2023-12-06,636410951.2122335
2023-12-07,685426399.6089444
2023-12-08,598527140.0928198
2023-12-09,729927941.8780037
2023-12-10,522306150.627057
2023-12-11,899897942.2853091
2023-12-12,538478223.4933164
2023-12-13,759417574.415763
2023-12-14,653405049.772598
2023-12-15,788771474.4156878
2023-12-16,979716670.4167125
2023-12-17,822785122.228002
2023-12-18,517681217.87774545
2023-12-19,715201219.7540306
2023-12-20,755008426.1591251
2023-12-21,768088747.351726
2023-12-22,840696255.301919
2023-12-23,638798048.8658831
2023-12-24,564430282.7331601
2023-12-25,696337838.2735472
2023-12-26,978202861.3979745
2023-12-27,593565445.8754224
2023-12-28,951991977.4641185
2023-12-29,771902975.0386631
2023-12-30,728455710.8228829
2023-12-31,941020705.1149448
